iter	Passed	Remaining
621	47885	29100
622	47921	28998
623	47958	28898
624	47994	28796
625	48031	28696
626	48067	28595
627	48102	28493
628	48138	28393
629	48173	28292
630	48208	28191
631	48243	28091
632	48280	27992
633	48316	27892
634	48351	27792
635	48386	27693
636	48421	27593
637	48456	27494
638	48491	27395
639	48527	27296
640	48567	27201
641	48609	27106
642	48656	27014
643	48703	26922
644	48750	26831
645	48785	26734
646	48825	26638
647	48862	26542
648	48900	26446
649	48938	26351
650	48976	26256
651	49013	26160
652	49051	26065
653	49088	25970
654	49123	25874
655	49159	25778
656	49194	25682
657	49229	25587
658	49266	25493
659	49302	25398
660	49338	25303
661	49385	25214
662	49436	25128
663	49490	25043
664	49527	24950
665	49563	24856
666	49597	24761
667	49632	24667
668	49668	24574
669	49704	24481
670	49739	24388
671	49779	24297
672	49830	24211
673	49873	24122
674	49910	24031
675	49944	23938
676	49982	23847
677	50018	23755
678	50054	23663
679	50089	23571
680	50126	23480
681	50167	23391
682	50215	23306
683	50253	23216
684	50290	23126
685	50327	23036
686	50363	22946
687	50397	22854
688	50431	22763
689	50465	22672
690	50500	22582
691	50534	22492
692	50567	22401
693	50601	22311
694	50635	22221
695	50669	22131
696	50703	22041
697	50737	21952
698	50769	21862
699	50803	21772
700	50836	21683
701	50870	21594
702	50904	21505
703	50937	21416
704	50970	21328
705	51005	21240
706	51039	21152
707	51075	21065
708	51109	20977
709	51143	20889
710	51176	20801
711	51211	20714
712	51246	20627
713	51281	20541
714	51315	20454
715	51349	20367
716	51386	20282
717	51423	20196
718	51461	20112
719	51499	20027
720	51537	19942
721	51576	19858
722	51611	19773
723	51645	19688
724	51680	19603
725	51714	19517
726	51749	19432
727	51784	19347
728	51818	19263
729	51854	19179
730	51889	19094
731	51924	19010
732	51959	18926
733	51993	18842
734	52028	18758
735	52063	18675
736	52099	18591
737	52134	18508
738	52169	18425
739	52203	18341
740	52238	18258
741	52271	18175
742	52307	18092
743	52342	18010
744	52377	17928
745	52411	17845
746	52445	17762
747	52481	17680
748	52515	17598
749	52549	17516
750	52585	17435
751	52622	17354
752	52660	17273
753	52697	17193
754	52734	17112
755	52771	17032
756	52809	16952
757	52843	16871
758	52878	16790
759	52912	16709
760	52946	16628
761	52980	16547
762	53015	16467
763	53050	16387
764	53085	16307
765	53119	16227
766	53154	16147
767	53189	16067
768	53224	15987
769	53259	15908
770	53294	15829
771	53328	15749
772	53363	15670
773	53399	15592
774	53435	15513
775	53470	15434
776	53504	15355
777	53539	15277
778	53573	15198
779	53608	15120
780	53641	15041
781	53675	14963
782	53709	14884
783	53742	14806
784	53776	14728
785	53813	14651
786	53849	14574
787	53886	14497
788	53928	14421
789	53964	14345
790	54001	14268
791	54038	14191
792	54073	14115
793	54109	14038
794	54142	13961
795	54176	13884
796	54210	13807
797	54245	13731
798	54278	13654
799	54312	13578
800	54346	13501
801	54380	13425
802	54416	13350
803	54451	13274
804	54487	13198
805	54521	13123
806	54556	13047
807	54592	12972
808	54625	12896
809	54660	12821
810	54693	12746
811	54728	12671
812	54761	12595
813	54795	12520
814	54829	12445
815	54863	12371
816	54895	12296
817	54931	12221
818	54964	12147
819	54998	12072
820	55031	11998
821	55068	11924
822	55107	11851
823	55145	11778
824	55182	11705
825	55218	11632
826	55262	11560
827	55297	11486
828	55330	11413
829	55365	11339
830	55399	11266
831	55434	11193
832	55468	11120
833	55502	11047
834	55536	10974
835	55571	10901
836	55604	10828
837	55639	10756
838	55673	10683
839	55707	10610
840	55740	10538
841	55775	10466
842	55808	10393
843	55842	10321
844	55875	10249
845	55909	10177
846	55944	10105
847	55978	10033
848	56013	9962
849	56048	9890
850	56085	9819
851	56118	9748
852	56152	9676
853	56187	9605
854	56220	9534
855	56255	9463
856	56289	9392
857	56326	9322
858	56363	9251
859	56400	9181
860	56437	9111
861	56476	9041
862	56512	8971
863	56546	8900
864	56580	8830
865	56614	8760
866	56648	8690
867	56682	8619
868	56717	8550
869	56751	8480
870	56786	8410
871	56820	8340
872	56855	8271
873	56889	8201
874	56924	8132
875	56959	8062
876	56993	7993
877	57028	7924
878	57062	7855
879	57098	7786
880	57132	7717
881	57167	7648
882	57201	7579
883	57235	7510
884	57271	7442
885	57306	7373
886	57341	7305
887	57377	7236
888	57412	7168
889	57447	7100
890	57481	7031
891	57517	6964
892	57557	6896
893	57593	6828
894	57631	6761
895	57669	6693
896	57714	6627
897	57749	6559
898	57783	6491
899	57818	6424
900	57852	6356
901	57887	6289
902	57921	6221
903	57955	6154
904	57990	6087
905	58025	6020
906	58060	5953
907	58097	5886
908	58133	5819
909	58168	5752
910	58201	5686
911	58238	5619
912	58273	5552
913	58307	5486
914	58342	5419
915	58375	5353
916	58408	5286
917	58442	5220
918	58477	5154
919	58510	5087
920	58546	5021
921	58580	4955
922	58615	4889
923	58649	4823
924	58683	4758
925	58718	4692
926	58757	4627
927	58794	4561
928	58832	4496
929	58869	4431
930	58908	4365
931	58945	4300
932	58980	4235
933	59016	4170
934	59052	4105
935	59086	4040
936	59120	3975
937	59157	3910
938	59192	3845
939	59227	3780
940	59262	3715
941	59300	3651
942	59335	3586
943	59369	3521
944	59404	3457
945	59438	3392
946	59472	3328
947	59506	3264
948	59541	3199
949	59575	3135
950	59613	3071
951	59648	3007
952	59682	2943
953	59716	2879
954	59752	2815
955	59786	2751
956	59821	2687
957	59859	2624
958	59893	2560
959	59928	2497
960	59966	2433
961	60003	2370
962	60044	2307
963	60082	2243
964	60119	2180
965	60157	2117
966	60196	2054
967	60232	1991
968	60266	1928
969	60300	1864
970	60335	1801
971	60369	1739
972	60404	1676
973	60439	1613
974	60473	1550
975	60508	1487
976	60544	1425
977	60579	1362
978	60613	1300
979	60646	1237
980	60681	1175
981	60716	1112
982	60751	1050
983	60786	988
984	60822	926
985	60855	864
986	60889	801
987	60923	739
988	60957	677
989	60991	616
990	61026	554
991	61061	492
992	61097	430
993	61132	369
994	61168	307
995	61203	245
996	61242	184
997	61279	122
998	61318	61
999	61353	0
